"FL_R","FL_G","FL_B","","RED","X1","Y1","Z1","GREEN","X2","Y2","Z2","BLUE","X3","Y3","Z3","CYAN","X4","Y4","Z4","紫色","X5","Y5","Z5","黃色","X6","Y6","Z6","白色","X7","Y7","Z7","黑色","X8","Y8","Z8"
"0","0","0","","","0.065","0.064","0.046","","0.06","0.074","0.035","","0.066","0.06","0.096","","0.112","0.134","0.118","","0.081","0.088","0.101","","0.102","0.122","0.074","","0.165","0.185","0.174","","0.029","0.028","0.035"
"0","0","128","","","2.784","0.921","15.026","","2.984","1.097","16.119","","3.733","1.232","20.422","","8.137","2.773","44.954","","7.712","2.529","42.425","","6.132","2.168","33.356","","10.858","3.774","60.205","","2.273","0.775","12.171"
"0","0","255","","","4.59","1.455","25.078","","4.851","1.708","26.63","","6.129","1.927","33.968","","13.708","4.546","76.13","","13.238","4.207","73.499","","10.347","3.521","56.953","","17.668","6","98.506","","3.894","1.244","21.339"
"0","128","0","","","0.943","3.755","0.512","","1.241","5.282","0.633","","0.953","4.344","0.587","","3.043","13.158","1.695","","2.55","10.815","1.424","","2.729","11.357","1.419","","4.66","19.79","2.68","","0.71","2.7","0.45"
"0","128","128","","","3.602","4.608","15.082","","4.046","6.259","16.14","","4.539","5.498","20.441","","10.898","15.86","45.357","","9.961","12.947","43.043","","8.639","13.303","34.251","","14.88","22.696","61.033","","2.875","3.391","12.803"
"0","128","255","","","5.473","5.178","25.267","","6.057","6.962","27.055","","7.022","6.246","34.126","","16.525","17.799","76.302","","15.081","14.459","71.474","","12.907","14.774","57.421","","21.889","24.818","100.195","","4.457","3.884","21.269"
"0","255","0","","","1.45","6.046","0.859","","2.004","8.605","1.253","","1.561","7.088","1.136","","4.839","21.354","3.236","","3.951","16.99","2.601","","4.307","18.21","2.706","","6.913","30.426","4.658","","1.007","4.359","0.677"
"0","255","128","","","4.08","6.88","15.325","","4.776","9.543","16.631","","5.111","8.273","20.878","","12.426","23.69","45.774","","11.348","19.445","43.769","","10.435","20.783","36.029","","16.989","33.731","61.245","","3.279","5.107","13.133"
"0","255","255","","","6.032","7.549","25.763","","6.77","10.245","27.48","","7.533","8.94","34.352","","18.186","25.94","77.052","","16.666","21.182","73.028","","14.489","21.909","58.545","","24.152","36.225","100.877","","5.037","5.797","22.503"
"128","0","0","","","3.691","1.609","0.004","","2.629","1.173","0.033","","2.339","1.026","0.032","","6.761","2.992","0.047","","8.1","3.559","0.042","","8.467","3.724","0.053","","13.937","6.14","0.1","","1.441","0.626","-0.026"
"128","0","128","","","6.156","2.388","14.634","","5.283","2.096","15.587","","5.751","2.105","19.87","","14.282","5.5","44.309","","15.349","5.844","42.588","","14.312","5.71","33.864","","23.325","9.258","57.675","","3.679","1.352","12.51"
"128","0","255","","","7.995","2.939","25.022","","7.204","2.756","26.542","","8.182","2.833","33.808","","19.257","7.076","74.101","","20.315","7.36","72.352","","18.076","6.919","57.081","","29.4","11.193","96.502","","5.119","1.798","20.935"
"128","128","0","","","4.391","5.231","0.491","","3.706","6.372","0.644","","3.161","5.32","0.633","","9.348","16.189","1.768","","10.246","14.161","1.45","","10.542","14.659","1.448","","17.335","24.526","2.522","","1.964","3.201","0.35"
"128","128","128","","","6.807","6.006","15.044","","6.362","7.316","16.172","","6.53","6.375","20.281","","16.636","18.418","45.175","","16.857","15.932","42.677","","15.874","16.411","33.989","","27.082","28.005","60.728","","4.128","3.935","12.614"
"128","128","255","","","8.599","6.555","25.22","","8.187","7.908","26.864","","8.904","7.086","33.949","","22.024","20.369","75.992","","21.112","16.956","69.663","","20.122","18.087","58.019","","32.984","29.568","99.121","","5.657","4.445","21.24"
"128","255","0","","","4.663","7.441","0.946","","4.269","9.579","1.262","","3.583","7.99","1.203","","10.69","24.131","3.325","","10.768","19.868","2.663","","11.853","21.963","2.809","","18.897","35.695","4.768","","2.297","4.898","0.714"
"128","255","128","","","7.062","8.188","15.268","","6.884","10.496","16.583","","6.983","9.104","20.799","","17.862","26.298","46.179","","17.227","21.573","42.368","","17.169","23.528","35.532","","28.145","38.68","61.318","","4.393","5.551","12.841"
